# file...... Output/Qh/house_Qh_file_033.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7B_tm_0_B_7_Meter_56_641:Qh,house_0_8B_tm_0_B_8_Meter_56_642:Qh,house_0_1B_tm_0_B_1_Meter_58_643:Qh,house_0_2B_tm_0_B_2_Meter_58_644:Qh,house_0_3B_tm_0_B_3_Meter_58_645:Qh,house_0_4B_tm_0_B_4_Meter_58_646:Qh,house_0_5B_tm_0_B_5_Meter_58_647:Qh,house_0_6B_tm_0_B_6_Meter_58_648:Qh,house_0_7B_tm_0_B_7_Meter_58_649:Qh,house_0_8B_tm_0_B_8_Meter_58_650:Qh,house_0_1B_tm_0_B_1_Meter_59_651:Qh,house_0_2B_tm_0_B_2_Meter_59_652:Qh,house_0_3B_tm_0_B_3_Meter_59_653:Qh,house_0_4B_tm_0_B_4_Meter_59_654:Qh,house_0_5B_tm_0_B_5_Meter_59_655:Qh,house_0_6B_tm_0_B_6_Meter_59_656:Qh,house_0_7B_tm_0_B_7_Meter_59_657:Qh,house_0_8B_tm_0_B_8_Meter_59_658:Qh,house_3_1A_tm_3_A_1_Meter_60_659:Qh,house_3_2A_tm_3_A_2_Meter_60_660:Qh
2010-08-16 14:23:30 UTC,-47638.5061059,-56300.7739944,-51832.016733,-56154.3075035,+0,-30242.575074,-64796.0375589,-21602.5062176,-38879.1118322,-56154.9648635,-12961.1519305,-56152.2329488,-38880.795509,-30239.1081426,+0,+0,+0,+0,+0,-47118.5602296
2010-08-16 14:24:00 UTC,+0,-56299.6409572,-51819.2424084,-56140.4675556,-51822.6591791,-30235.1210123,-64780.0674867,-21597.1816697,-38869.5294124,-56141.1247773,-12957.4141341,-56136.040431,-38869.5830632,-30230.3879741,-60451.0309159,+0,-47511.800461,+0,+0,-47080.8196777
2010-08-16 14:24:30 UTC,+0,-56272.9724996,-51792.1762383,-56111.1435484,-51795.5902894,-30219.3273873,+0,-21585.9000467,-38849.2262333,-56111.8004776,-12949.4239381,-56101.426081,-38845.6144921,-30211.7470832,-60413.7560893,+0,-47470.6768829,+0,+0,-47091.0067406
2010-08-16 14:25:00 UTC,+0,-56251.208221,-51772.6631952,-56090.0027431,-51776.075285,-30207.9411548,+0,-21577.7666903,-38834.5888902,-56090.6594616,-12944.0786508,-56078.2697477,-38829.5799795,-30199.2766864,-60388.8199483,-30199.9031754,-47451.0831615,+0,+0,+0
2010-08-16 14:25:30 UTC,+0,-56281.3004428,-51804.348173,-56124.3306403,-51807.7631889,-30226.4295975,+0,-21590.9732304,-38858.3565359,-56124.9877151,-12952.0003743,-56112.5879279,-38853.3432387,-30217.7579949,-60425.7758914,-30218.3849572,-47480.1215441,+0,+0,+0
2010-08-16 14:26:00 UTC,+0,-56280.6205192,-51812.6344793,-56133.3081834,-51816.0503279,-30231.2648151,+0,-21594.4270987,+0,-56133.9653478,-12954.0720699,-56121.5627259,-38859.5578026,-30222.5911994,-60435.4404969,-30223.2182927,-47487.7155657,+0,-64267.7059954,+0
2010-08-16 14:26:30 UTC,+0,-56283.7371227,-51820.3614166,-56141.6796953,-51823.7780416,-30235.7736299,+0,-21597.6478127,+0,-56142.3369432,-12956.1779258,-56130.68551,-38865.8748387,+0,-60445.2644629,-30228.1313253,-47495.4348057,+0,-64240.4307915,+0
2010-08-16 14:27:00 UTC,+0,-56294.2757363,-51832.159693,-56154.4621739,-51835.5775033,-30242.6581487,+0,-21602.5655276,+0,-56155.1195493,-12959.1277119,-56143.4642861,-38874.7234523,+0,-60459.025422,-30235.0132754,-47506.2475618,+0,-64296.6566733,+0
2010-08-16 14:27:30 UTC,+0,-56315.3713435,-51850.3041587,-56174.1202351,-51853.7237915,-30253.2457889,+0,-21610.1284376,+0,-56174.7778068,-12962.8625571,-56159.6440196,-38885.9270451,+0,-60476.4487381,-30243.726795,-47519.9380367,-51840.9456484,-64262.6955735,+0
2010-08-16 14:28:00 UTC,-47663.2765782,-56330.0487488,-51868.8145919,-56194.1747922,-51872.2360834,-30264.0469777,+0,-21617.8438885,+0,-56194.8325641,-12967.490021,-56179.6906694,+0,+0,-60498.0361834,-30254.5228243,-47536.9005015,-51859.4506743,-64228.8383524,+0
2010-08-16 14:28:30 UTC,-47681.1143268,-56351.1301785,-51884.9461203,-56211.651998,-51888.3692314,+0,-64862.2078654,-21624.5677728,+0,-56212.3099446,-12972.3858188,-56200.8997696,+0,+0,-60520.8754255,-30265.9448857,-47554.8465734,-51879.0287561,-64181.9328416,-47066.02961
2010-08-16 14:29:00 UTC,-47697.3095746,-56370.270429,-51908.801978,-56237.497889,-51912.2274832,+0,-64892.0317294,-21634.5112826,+0,-56238.1560937,-12978.3503037,-56226.738534,+0,+0,-60548.7001703,-30279.8602307,-47576.7100342,-51902.8804726,-64149.5604176,-47042.2904137
2010-08-16 14:29:30 UTC,-47641.4415244,-56304.2431291,-51831.4593121,-56153.7033677,-51834.8770519,+0,-64795.3402878,-21602.273597,-38878.6934475,-56154.3607355,-12958.838917,-56142.2131977,+0,-30233.7121128,-60457.6781746,-30234.3395074,-47505.1889538,-51824.8552885,-64168.1188938,-47055.8996296
2010-08-16 14:30:00 UTC,-47636.1179382,-56297.9514825,-51823.9703073,-56145.5896366,-51827.3872948,+0,-64785.977762,-21599.1520575,-38873.0757115,-56146.2469235,-12956.9665326,-56134.1018354,+0,-30229.3438951,-60448.9433687,-30229.9711713,-47498.3255279,-51817.3677049,-64148.6618331,-47041.6314679
2010-08-16 14:30:30 UTC,-47612.122708,-56269.5927999,-51793.4786362,-56112.5541581,-51796.8922987,+0,-64747.8575968,-21586.4423482,-38850.2027088,-56113.2111297,-12949.3430788,-56101.0767163,+0,-30211.5587672,-60413.3799726,-30212.1855335,-47470.3814072,-51786.8822901,-64196.71949,-47076.8729495
2010-08-16 14:31:00 UTC,-47592.2137672,-56246.0635441,-51772.5742627,-56089.9059583,-51775.9858235,+0,-64721.7235825,-21577.7290618,-38834.5216846,-56090.5627041,-12944.1166129,-56078.4351306,+0,-30199.3655775,-60388.998143,-30199.9920132,-47451.2232393,-51765.9818841,-64258.4606135,-47122.1486654
2010-08-16 14:31:30 UTC,-47616.7378773,-56275.0472085,-51800.5755819,-56120.2431251,-51803.9899577,-30224.2278698,-64756.7299827,-21589.4004715,-38855.5263493,-56120.9001734,-12950.7450473,-56107.1501881,-38849.5776638,-30214.8295183,-60419.9202546,-30215.4563731,-47475.5204726,-51792.4887006,-64243.9194608,-47111.4854142
