# file...... Output/Qh/house_Qh_file_025.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_25B_tm_2_B_25_Meter_48_481:Qh,house_2_26B_tm_2_B_26_Meter_48_482:Qh,house_2_27B_tm_2_B_27_Meter_48_483:Qh,house_2_28B_tm_2_B_28_Meter_48_484:Qh,house_2_29B_tm_2_B_29_Meter_48_485:Qh,house_2_1C_tm_2_C_1_Meter_48_486:Qh,house_2_2C_tm_2_C_2_Meter_48_487:Qh,house_2_3C_tm_2_C_3_Meter_48_488:Qh,house_2_4C_tm_2_C_4_Meter_48_489:Qh,house_2_5C_tm_2_C_5_Meter_48_490:Qh,house_2_6C_tm_2_C_6_Meter_48_491:Qh,house_2_7C_tm_2_C_7_Meter_48_492:Qh,house_2_8C_tm_2_C_8_Meter_48_493:Qh,house_2_9C_tm_2_C_9_Meter_48_494:Qh,house_2_10C_tm_2_C_10_Meter_48_495:Qh,house_2_11C_tm_2_C_11_Meter_48_496:Qh,house_2_12C_tm_2_C_12_Meter_48_497:Qh,house_2_13C_tm_2_C_13_Meter_48_498:Qh,house_2_14C_tm_2_C_14_Meter_48_499:Qh,house_2_15C_tm_2_C_15_Meter_48_500:Qh
2010-08-16 00:28:30 UTC,+0,+0,-56361.9277442,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47721.1167913,-65066.3922484,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,-56345.4850871,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47715.828276,+0,-34704.6150248,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,-56354.0976208,+0,+0,+0,+0,+0,+0,-21691.3682614,+0,+0,-47716.8311781,+0,-34705.344469,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,-56349.6376092,+0,+0,+0,+0,+0,+0,-21697.5924317,+0,+0,+0,+0,-34715.3028449,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21718.1874897,+0,+0,+0,+0,-34748.2539562,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21711.8230043,+0,+0,+0,+0,-34738.0710828,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34729.4201181,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34702.5578408,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,-39089.164686,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,-39080.6974271,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52067.9021375,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,-39079.1674829,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52052.5370912,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,-39085.6119037,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52080.0045821,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,-39071.8443203,+0,+0,+0,+0,+0,+0,-30388.4345108,+0,+0,+0,+0,-17365.2625135,-52086.5171332,-13024.3030848,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,-39058.5414695,+0,+0,+0,+0,+0,+0,-30378.1835616,+0,+0,+0,+0,-17359.4046587,-52068.9474743,-13019.9095444,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,-39046.821142,+0,+0,+0,+0,+0,+0,-30372.8717424,+0,+0,+0,+0,-17356.3692456,-52059.8432591,-13017.6329072,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,-39032.3868198,+0,+0,+0,+0,+0,+0,-30374.2237074,-52067.3790105,+0,+0,+0,-17357.1418194,-52062.1604652,-13018.2123573,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30356.5278225,-52037.0451195,+0,+0,+0,-17347.0295925,-52031.8305272,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30377.3311699,-52072.7057534,+0,+0,+0,+0,-52067.486514,+0,+0,-17359.0971676
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,-21703.8586246,+0,+0,+0,-30384.5319405,-52085.0491537,+0,+0,+0,+0,+0,+0,+0,-17363.2120656
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,-21700.6664923,+0,+0,+0,+0,-52077.3887653,+0,+0,+0,+0,+0,+0,+0,-17360.6583352
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,-21688.2533078,+0,+0,+0,+0,-52047.5999575,+0,+0,+0,+0,+0,+0,+0,-17350.7276919
2010-08-16 00:40:00 UTC,-47719.9114648,+0,+0,+0,+0,-52052.7878754,-21692.9526322,+0,+0,+0,+0,-52058.877263,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,-47723.5732259,+0,+0,+0,+0,-52046.5593473,+0,-47711.8854501,+0,+0,+0,-52052.6477787,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,-47726.6376108,+0,+0,+0,+0,-52041.5423181,+0,-47707.2862122,+0,+0,+0,-52047.6299788,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,-47733.147528,+0,+0,+0,+0,-52049.4458966,+0,-47714.531623,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,-47759.0376498,+0,+0,+0,+0,-52022.3346809,+0,-47689.6780844,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,-47741.8301998,+0,+0,+0,-30384.0451402,-52030.2270582,+0,-47696.9132267,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
