# file...... Output/Qh/house_Qh_file_011.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_3A_tm_1_A_3_Meter_28_201:Qh,house_1_4A_tm_1_A_4_Meter_28_202:Qh,house_1_5A_tm_1_A_5_Meter_28_203:Qh,house_1_6A_tm_1_A_6_Meter_28_204:Qh,house_1_7A_tm_1_A_7_Meter_28_205:Qh,house_1_8A_tm_1_A_8_Meter_28_206:Qh,house_1_9A_tm_1_A_9_Meter_28_207:Qh,house_1_10A_tm_1_A_10_Meter_28_208:Qh,house_1_11A_tm_1_A_11_Meter_28_209:Qh,house_1_12A_tm_1_A_12_Meter_28_210:Qh,house_1_13A_tm_1_A_13_Meter_28_211:Qh,house_1_14A_tm_1_A_14_Meter_28_212:Qh,house_1_15A_tm_1_A_15_Meter_28_213:Qh,house_1_1A_tm_1_A_1_Meter_29_214:Qh,house_1_2A_tm_1_A_2_Meter_29_215:Qh,house_1_3A_tm_1_A_3_Meter_29_216:Qh,house_1_4A_tm_1_A_4_Meter_29_217:Qh,house_1_5A_tm_1_A_5_Meter_29_218:Qh,house_1_6A_tm_1_A_6_Meter_29_219:Qh,house_1_7A_tm_1_A_7_Meter_29_220:Qh
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,-43439.6561912,+0,+0,+0,+0,+0,+0,+0,+0,-52115.1296579,+0,+0,-60805.2282542,-47777.1508157,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,-43439.4710137,+0,+0,+0,+0,+0,+0,+0,+0,-52113.1355553,+0,+0,-60802.9015787,-47775.322635,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,-43462.0054713,+0,+0,+0,-56495.8991011,+0,+0,+0,+0,-52142.7071108,+0,+0,-60837.4050252,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56479.0967013,+0,-60826.5505061,+0,+0,-52125.7066797,+0,-52132.1318294,-60817.5692929,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56499.6430254,+0,-60848.678642,+0,+0,-52144.3101909,+0,-52150.7383967,-60839.2754644,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,-43456.9918023,+0,+0,-56486.8229847,+0,-60834.8716175,+0,+0,-52133.1839679,+0,-52139.6103461,-60826.2936299,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,-43435.4636195,+0,+0,-56458.8409527,+0,-60804.7353163,+0,+0,-52107.3616468,+0,-52113.7837827,-60796.1647081,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,-43439.6859055,+0,+0,-56464.3290214,+0,-60810.6458981,+0,+0,+0,+0,-52121.5091356,-60805.177001,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,-43442.2840349,+0,+0,-56467.7060337,+0,-60814.2828985,+0,+0,+0,+0,-52125.7755946,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,-43440.0835362,+0,+0,+0,+0,-60811.2025228,-73826.8358573,+0,+0,+0,-52125.1887299,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,-30414.488532,+0,+0,-43447.7547423,+0,+0,+0,+0,-60821.9410871,-73839.8722183,+0,+0,+0,-52134.8856273,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,-30414.4201432,+0,+0,+0,+0,+0,+0,+0,+0,-73839.7061994,+0,+0,+0,-52133.081916,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,-30403.4287684,+0,+0,+0,+0,+0,+0,-43430.4039499,+0,-73813.0235036,+0,+0,+0,-52114.9441773,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,-56433.1560822,-30389.0283558,+0,+0,+0,+0,+0,+0,-43409.8337396,+0,-73778.0650204,+0,+0,+0,-52091.9098091,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,-56447.4960624,-30396.7505012,+0,+0,+0,+0,+0,+0,-43420.8644064,+0,-73796.8113224,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,-56458.8009164,+0,+0,+0,+0,+0,+0,+0,-43429.5603792,+0,-73811.5898792,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,-56484.5198851,+0,+0,+0,+0,+0,+0,+0,-43449.3440449,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,-56429.796835,+0,+0,+0,+0,+0,+0,+0,-43407.2497238,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,-56440.7381615,+0,+0,+0,+0,+0,+0,+0,-43415.6660622,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,-56444.2638221,+0,+0,+0,+0,+0,+0,+0,-43418.3780874,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,-56473.4743709,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,-56458.9792927,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,-56469.0440027,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,-21725.6878548,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,-21726.8652322,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,-21726.7103545,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,-21729.6690401,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,-21738.6017776,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,-43451.2436759,-43453.2121193,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,-43443.2314919,-43445.1994403,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47787.5828305,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,-43427.6192276,-43429.5862121,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47770.1761976,+0,+0
