$state_name=Hawaii
$city_name=Oahu
$lat_deg=21
$lat_min=28
$long_deg=-157
$long_min=59
$timezone_offset=-8
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
08:15:5:11:33,75,0.64,8.1,0,0,0
08:15:5:11:36,75,0.64,8.1,0,0,0
08:15:5:11:39,75,0.64,8.1,0,0,0
08:15:5:11:42,75,0.64,8.1,0,0,0
08:15:5:11:45,75,0.64,8.1,0,0,0
08:15:5:11:48,75,0.64,8.1,0,0,0
08:15:5:11:51,75,0.64,8.1,0,0,0
08:15:5:11:54,75,0.64,8.1,0,0,0
08:15:5:11:57,75,0.64,8.1,0,0,0
08:15:5:12:0,75,0.64,8.1,0,0,0
08:15:5:12:3,75,0.64,8.1,0,0,0
08:15:5:12:6,75,0.64,8.1,0,0,0
08:15:5:12:9,75,0.64,8.1,0,0,0
08:15:5:12:12,75,0.64,8.1,0,0,0
08:15:5:12:15,75,0.64,8.1,0,0,0
08:15:5:12:18,75,0.64,8.1,0,0,0
08:15:5:12:21,75,0.64,8.1,0,0,0
08:15:5:12:24,75,0.64,8.1,0,0,0
08:15:5:12:27,75,0.64,8.1,0,0,0
08:15:5:12:30,75,0.64,8.1,0,0,0
08:15:5:12:33,75,0.64,8.1,0,0,0
08:15:5:12:36,75,0.64,8.1,0,0,0
08:15:5:12:39,75,0.64,8.1,0,0,0
08:15:5:12:42,75,0.64,8.1,0,0,0
08:15:5:12:45,75,0.64,8.1,0,0,0
08:15:5:12:48,75,0.64,8.1,0,0,0
08:15:5:12:51,75,0.64,8.1,0,0,0
08:15:5:12:54,75,0.64,8.1,0,0,0
08:15:5:12:57,75,0.64,8.1,0,0,0
08:15:5:13:0,75,0.64,8.1,0,0,0
08:15:5:13:3,75,0.64,8.1,0,0,0
08:15:5:13:6,75,0.64,8.1,0,0,0
08:15:5:13:9,75,0.64,8.1,0,0,0
08:15:5:13:12,75,0.64,8.1,0,0,0
08:15:5:13:15,75,0.64,8.1,0,0,0
08:15:5:13:18,75,0.64,8.1,0,0,0
08:15:5:13:21,75,0.64,8.1,0,0,0
08:15:5:13:24,75,0.64,8.1,0,0,0
08:15:5:13:27,75,0.64,8.1,0,0,0
08:15:5:13:30,75,0.64,8.1,0,0,0
08:15:5:13:33,75,0.64,8.1,0,0,0
08:15:5:13:36,75,0.64,8.1,0,0,0
08:15:5:13:39,75,0.64,8.1,0,0,0
08:15:5:13:42,75,0.64,8.1,0,0,0
08:15:5:13:45,75,0.64,8.1,0,0,0
08:15:5:13:48,75,0.64,8.1,0,0,0
08:15:5:13:51,75,0.64,8.1,0,0,0
08:15:5:13:54,75,0.64,8.1,0,0,0
08:15:5:13:57,75,0.64,8.1,0,0,0
08:15:5:14:0,75,0.64,8.1,0,0,0
08:15:5:14:3,75,0.64,8.1,0,0,0
08:15:5:14:6,75,0.64,8.1,0,0,0
08:15:5:14:9,75,0.64,8.1,0,0,0
08:15:5:14:12,75,0.64,8.1,0,0,0
08:15:5:14:15,75,0.64,8.1,0,0,0
