Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_7_output (kW),DG_152_output (kW),DG_18_output (kW),DG_57_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2018-01-28-09:12:47,153,True,21.2232315322,18.5219877551,1231.10510546,1828.54011607,50.002814995,30.16707707,20.0054357487,20.0213061722,40.0025174854,-76.4748189114,5516.2554198,5516.2554198,2172.239252917018
2018-01-28-09:17:47,154,True,20.6664698315,18.9412542852,1234.01302493,1832.9394424,50.0,30.001302615,20.0,20.0001024208,40.0,-77.9019271778,5611.8487906,5611.8487906,2139.3072144990874
2018-01-28-09:22:47,155,True,20.2053499029,19.0697860326,1235.25910881,1835.08507908,50.0002249935,30.0055173692,20.00026604,20.0004908615,40.0001802802,-75.0467431834,5557.0823614,5557.0823614,2214.616003505804
2018-01-28-09:27:47,156,True,20.5913086383,19.1661250082,1236.27255534,1836.56726748,50.0017489716,30.1610527296,20.0040544903,20.0256709827,40.0016525036,-77.4296271214,5655.1104513,5655.1104513,2242.3305424914456
2018-01-28-09:32:47,157,True,20.2802776091,18.6174521755,1237.57635558,1838.64153557,50.0000935144,30.0023622094,20.0001154138,20.0002429586,40.0000755614,-78.4391035335,5714.2463982,5714.2463982,2228.2247207275627
2018-01-28-09:37:47,158,True,20.4378489963,19.2432753607,1238.26527018,1837.68562646,50.0001007372,30.0004628362,20.0001169484,20.0001737209,40.000080648,-75.4805049589,5623.2809746,5623.2809746,2299.0253184760927
2018-01-28-09:42:47,159,True,20.8912445092,19.0729100069,1239.3082233,1840.11189611,50.0,30.0,20.0,20.0,40.0,-79.6330792448,5776.2773048,5776.2773048,2248.7867492200276
2018-01-28-09:47:47,160,True,20.9380322769,19.3069519372,1240.7646395,1842.55263799,50.000568625,30.0043005881,20.0007585752,20.0010886846,40.0004703464,-81.6137455162,5744.0815091,5744.0815091,2134.312000050772
2018-01-28-09:52:47,161,True,21.6515220842,19.6788235953,1240.75372603,1842.47922184,50.0022872472,30.0551925112,20.0031894043,20.0095146851,40.0019096265,-82.7547238069,5779.4535534,5779.4535534,2220.2010516656146
2018-01-28-09:57:47,162,True,21.326335945,19.6636142878,1241.71507559,1843.91360234,50.0,30.0004216345,20.0,20.0,40.0,-80.5697212098,5764.1549681,5764.1549681,2309.5627727838687
2018-01-28-10:02:47,163,True,21.5178351282,19.5173914801,1242.29757756,1844.73412835,50.0,30.0003073459,20.0,20.0,40.0,-81.4790108707,5795.267545,5795.267545,2342.9745979320955
