Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_13_output (kW),DG_57_output (kW),DG_7_output (kW),DG_18_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2018-02-09-19:09:39,41,True,51.1111387854,52.375188121,361.541203131,119.348555522,147.807730248,172.346217094,71.8306395065,81.0760299107,73.7159115071,-3.1961015617,754.3322248,754.3322248,820.218994413
2018-02-09-19:14:39,42,True,50.5097794516,51.1455456406,237.225158296,228.841143933,145.230465405,168.050776738,70.5915672577,79.5419437992,71.6374733882,-2.66873439726,819.9423967,819.9423967,888.92832106
2018-02-09-19:19:39,43,True,53.2000504111,50.674820934,63.4148395057,378.832490276,145.596868684,168.661447924,70.7677254057,79.760040857,71.9329587279,-1.40888554306,773.210942,773.210942,867.682653817
2018-02-09-19:24:39,44,True,50.3740491501,50.588077212,250.114629639,203.075688807,142.999646753,164.332746001,69.5190574385,78.214075607,69.8384265952,-2.25459699479,758.2187529,758.2187529,829.932386848
2018-02-09-19:29:39,45,True,49.8994481061,51.0403021053,235.11116286,157.523196221,143.084128428,164.4735474,69.5596770774,78.2643621618,69.9065552098,0.878153927675,720.2540247,720.2540247,852.907935896
2018-02-09-19:34:39,46,True,50.4568707382,50.4848078873,117.371152847,246.444594703,142.272358497,163.120597515,69.169403068,77.7811657746,69.2519020409,2.27966724941,701.8009593,701.8009593,859.580638645
2018-02-09-19:39:39,47,True,51.4293764506,49.6913066004,65.6653083333,333.962622136,141.568660679,161.947768123,68.8310861552,77.3622980509,68.6844041892,0.312014041674,708.0379026,708.0379026,826.804189327
2018-02-09-19:44:39,48,True,50.5228537438,49.3614156272,122.517733946,264.404699655,140.788853108,160.648088527,68.4561793461,76.898126852,68.0555267178,0.868664101861,727.5096192,727.5096192,855.43396015
2018-02-09-19:49:39,49,True,49.3923705764,52.3992859085,323.363941797,16.5630177945,139.94913368,159.248556135,68.0524681106,76.3982938574,67.3783336156,3.10080970051,703.1986269,703.1986269,874.298452707
2018-02-09-19:54:39,50,True,48.3795983033,50.1443005808,298.781078677,49.1303981761,139.032789187,157.721315341,67.6119178129,75.85285071,66.6393461604,2.51891617708,682.425142,682.425142,841.371884358
2018-02-09-19:59:39,51,True,54.711261791,49.1395250333,0.00128402334455,359.483981457,137.980960304,155.968267177,67.1062309085,75.2267620864,65.7910970238,1.87015914989,730.5450236,730.5450236,873.133075619
2018-02-09-20:04:39,52,True,50.4171772502,48.2721395457,3.91178438841e-05,370.365664519,136.466499207,153.444165408,66.3781246734,74.3252971314,64.5697574787,1.06672048148,708.4718011,708.4718011,833.289941362
2018-02-09-20:09:39,53,True,49.3013373125,48.7079019704,165.377720063,193.479352483,136.886358913,154.143931542,66.5799802002,74.5752136417,64.9083539903,1.77399730108,736.7542504,736.7542504,874.991016141
2018-02-09-20:14:39,54,True,48.1075136854,51.8976316055,328.669327472,39.47132552,135.718479413,152.19746574,66.018499601,73.8800472769,63.966515734,1.08226080804,748.3599158,748.3599158,872.000270573
2018-02-09-20:19:39,55,True,47.6495850604,48.8307803918,212.636671583,136.185001586,134.371141511,149.951902544,65.3707410525,73.0780604269,62.8799528705,1.90877919524,722.4204757,722.4204757,859.250600936
2018-02-09-20:24:39,56,True,51.2024187572,48.3736199461,39.8586002547,289.127445894,135.069917955,151.116529952,65.7066912562,73.4939987869,63.4434822645,3.00151679332,722.7093671,722.7093671,882.553941166
